Yorum;Kategori
Çok yavaþ, para çekecez pin istiyor, internet bankacýlýðýnda da öyle. Para gönderecez pin istiyor. Uygulama da çok yavaþ.;Aþýrý Güvenlik
PTT ATM sini kullanýyorum... (Albaraka ATM bana uzak olduðu için..) PTT ATM si sýkça arýza veriyor...bazen yavaþ bazen para yok diyor;Çalýþmýyor - Hata Veriyor
Yeterli ATM aðý yok maalesef;ATM Sayýsý Yetersiz
"Es Selâmü Aleyküm
Burayý faizi yok diye birde Hasan burkay ustazým için
Fakat bana çok yardýmcý olan iki kiþiyi yok ve çok seviyordum bana deðer veriyorlardý ve onlara istiþare ediyordum þimdi yoklar ve paramý çektim birde altýn paraya çevrilmesini zor";Para Çekme Limiti Yetersiz
Uzunca süre bekletiyorlar;Para Çekme Limiti Yetersiz
Çok sayýda hatda hiç yok denilecek kadar yok  az hiç bir yerde yok;ATM Sayýsý Yetersiz
"Hýzlý deðil
Özellikle para yatýrma esnasýn da çok yavaþ
Birdee kendime ait iki hesabým var ,bana para yatýrma esnasýn da hangi hesaba yatýracaðýmý sormuyor ,ilk olan hesaba parayý yatýrýyor halbiki diyer hesabýma yatýracam";Ücret Alýnmasý
Sürekli para iadesi yapýp sonrasýnda tekrar denediðimde kabul ediyor. Zaman kaybý;Çalýþmýyor - Hata Veriyor
Nezaman ihtiyacim olsa banka matik bozuk ozelliklede gece ve hafta sonu baþka atmlerden para cekmek zorunda kaliyorum oda para kesiyor hep madur oluyorum;PTT
Kocaeli Körfez ilçede ikamet ediyorum bir tane bankamatik koymaya yerimi bulamýyorsunuz þubesi olmayan bankalarýn bankamatiklerinizi var sizin yok;ATM Sayýsý Yetersiz
Beðeniyoruz;Kullanýþsýz
atm, yi fazla kullanmadýgým için;ATM Sayýsý Yetersiz
Para yatýrdým ve parayý defalarca kabul etmedi atm, birkaç denemeden sonra yatýrabildim.;Çalýþmýyor - Hata Veriyor
atm sayýsý az, cogu zaman sorunlu para yok vs... ilgisizlik gözle görülür derece.;ATM Sayýsý Yetersiz
ATM’leriniz idare eder ne çok iyi neon kötü;Çalýþmýyor - Hata Veriyor
Çok az atm olmasý, merkezlerde dahi;ATM Sayýsý Yetersiz
Baþka ATM'den para çektim para hesabýmda kesildi henüz geri yatmadý hesabýma parayý da almadým ama hesabýmda 1720 TL ve iþlem ücreti alýndý;Para Çekme Limiti Yetersiz
Atm leriniz yaygýn deðil.;ATM Sayýsý Yetersiz
Sms onayý olmasý ve yanlýþ girildiðinde kartý almasý süreci uzatan ve zorlaþtýran bir durum güvenlik açýsýndan yapýlmada süreci zorlaþtýrýyor;Aþýrý Güvenlik
Her þey kör topal ilerliyor, katýlým bankasý olmasý ? 3 puan..Gerçek katýlým bankasý 10 puan eder, aksaklýar olsa bile;Çalýþmýyor - Hata Veriyor
Hiç ATM niz yok ki. Ýstanbul'da koskoca ilçede 2 adet ATM var;ATM Sayýsý Yetersiz
Yeterli sayýda atm niz yok.;ATM Sayýsý Yetersiz
Albaraka ATM’leri her yerde bulunmuyor, genelde Ptt ATM’lerini kullanmak zorunda kalýyorum.;ATM Sayýsý Yetersiz
Yetersiz ulaþým zor;ATM Sayýsý Yetersiz
Her yerde ATM bulamýyorum para kesiyorsunuz;ATM Sayýsý Yetersiz
Para çekme ücreti almaya baþladýðý îçin;Para Çekme Limiti Yetersiz
ATM bulamýyoruz;ATM Sayýsý Yetersiz
QR kodlarý çok okutuluyor.;QR
Genel olarak bankacilik hizmetleriniz yavas.;Kullanýþsýz
ATM limited az paraya çekmeye iki kez çarþýya gitmek zorunda kalýyorum;ATM Sayýsý Yetersiz
Her yerde ATM niz yok çünkü;ATM Sayýsý Yetersiz
Ateme yeterli kadar yaygýn deðildir;ATM Sayýsý Yetersiz
Döviz bozma seçeneðiniz yok;Çalýþmýyor - Hata Veriyor
Kullaným açýsýndan orta duzeyde;Kullanýþsýz
Para çekerken zorlanýyorum her seferinde az olan hesabýmda bakiyeyetersiz diyor halbuki diger hesabýmda para var ondan çekemiyorum;ATM Sayýsý Yetersiz
Çok az ATM olmasýndan;ATM Sayýsý Yetersiz
Hiç bir yerde banka atmniz yok yaygýn degilsiniz;ATM Sayýsý Yetersiz
ATM niz yokki;ATM Sayýsý Yetersiz
ATM den ücret kesiyorsunuz;ATM Sayýsý Yetersiz
Atmlerden para çekme limitiniz çok az çünkü;Para Çekme Limiti Yetersiz
Atmlerin sayýsýnýn arttýrýlmasý gerekiyor.her bankanýn ATM sinin olduðu bölgede Albaraka yok.her gün baþka banka ATM sini kullandigim için dünya kadar komisyon ödemekten býktým;ATM Sayýsý Yetersiz
Parayý almýyor;Kullanýþsýz
Yavaþ;Yavaþ
Sukýntý yaþamýyorum;Çalýþmýyor - Hata Veriyor
Koskoca yenimahalle tarafýnda bi tane var oda çoðu zaman arýzalý oluyor diyer bankalar gibi her yerde 1 atm þart;ATM Sayýsý Yetersiz
Surekli sms sifre istiyor;Aþýrý Güvenlik
Atm hizmetiniz güvenlik iþlemeleri nedeni ile çok kafa karýþtýrýcý. Diðer bankalar gibi sadece þifre giriþ yapýp hizmetten yararlanamýyorum.;Kullanýþsýz
Geliþtirilmesi gerekiyor;Genel Memnuniyetsizlik
Cok bekledim bide atmden para cekýlmýyor sureklý þifre istiyor tlfna msj geliyor giriyorum para cekme kýsmýna basýyorum olmuyor;Para Yatýrma Problemi
O.  Kadar;ATM Sayýsý Yetersiz
Alarak atm heryede yok PTT atm si açýðý kapatmýyor bazen PTT atm hizmet vermiyor;ATM Sayýsý Yetersiz
ATM bulamadýðýmýz için hiç kullanamadýk;ATM Sayýsý Yetersiz
Para çekmek çok zor;Para Çekme Limiti Yetersiz
Sistem alt yapýsýnýn yeterli seviyede olduðunu düþünmüyorum atmlerde veya mobil bankacýlýkta sorunlar yaþanýyor atmden para çekmek dahi zorluyor bazen bir sürü aþama atlamak gerekiyor;ATM Sayýsý Yetersiz
Çok þubeniz yok uzak yerlerde var çogaltmalýsýnýz;ATM Sayýsý Yetersiz
ATM az çevrede;ATM Sayýsý Yetersiz
Çok az atm niz var buda sorun yaþatýyor;ATM Sayýsý Yetersiz
Cok yavaþ uygulamada cok yavaþ;Yavaþ
Konya þehir merkezinde yeteri kadar ATM olmadýðý için. Özellikle Meram bölgesinde ATM yok.;ATM Sayýsý Yetersiz
Þehrimde bulunan atm sayýsýnýn azlýðý ve günlük nakit çekim miktarýnýn az olmasý;ATM Sayýsý Yetersiz
Atmler çalýþtýðým yere çok uzak atmye para çekmeye gidiyorum arýzalý yada para vermiyor;Çalýþmýyor - Hata Veriyor
Cep telefonundan karekodu çoðu zaman okumuyor ayrýca yavaþ iþlem yapýyor;Aþýrý Güvenlik
ATM olmadýðýndan, mesai dýþýnda ve üç seferden fazla para çektiðimizde kesinti olduðundan dolayý bu puaný verdim.;Para Çekme Limiti Yetersiz
Bürokrasi ve hantal bir yapý ve sadece yabancýlara odaklanýlmasý.;Kullanýþsýz
Sýfýrlýksýnkz ondan;Genel Memnuniyetsizlik
ATM ler yetersiz geriye kalan herþey çok güzel belki bir kaç banka ile anlaþýp ATM lerinden para çekebiliriz;ATM Sayýsý Yetersiz
Atm den kare kodla para çekmekte zorlanýyorum, Mesela: Keçiören, Kýzarpýnarý þubenizden kaç sefer kare kodla psra çekmek istesem ,çekemiyorum, geçen hafta iþim acele idi hemen çekiyim dedim , gene çekemedim.Baþka Atm lerinizden denemedim,sadece Kýzlarpýnarý þubeniz mi böyle, diðerleridemi öyle bilemiyorum. Anketi yaptýðýnýz için teþekkür ederim.;ATM Sayýsý Yetersiz
Atm sayisi az, diger anlasmali atmlerde sinirli olmasi;ATM Sayýsý Yetersiz
ATMleriniz her lokasyonda olmuyor. Baþka bankadan çekme opsiyonu sunuyorsunuz güzel faka yaraya merhem sürmek gibi;ATM Sayýsý Yetersiz
Herþey kýsýtlý bankanýzdada uyðulamanýzdada;ATM Sayýsý Yetersiz
ATM az PTT atemeleri çoðu zaman çalýþ miyo;ATM Sayýsý Yetersiz
Yetersiz atm;ATM Sayýsý Yetersiz
Bulundum bölgede alarak atm olmadý için;ATM Sayýsý Yetersiz
Paralarý çok seçiyor;Para Yatýrma Problemi
30;Genel Memnuniyetsizlik
Daha çok çeþitli iþlemler lazým;Genel Memnuniyetsizlik
Atm sistemi cok yavaþ çalýþýyor;Yavaþ
Þube içi iþlem için sýra alýyorum, benden sonra gelip sýra alan müþteriler her zaman benden önce iþlem yapýp gidiyor. Bu dediðim olay kartýmýn baðlý bulunduðu þubede oluyor ve ben sýra numarasýný banka kartým ile alýyorum. Bu sorun düzelmez ise yakýn zamanda baþka bir banka ile çalýþmaya baþlayacaðým.;Þube
Atm leriniz eski ve aðýr çalýþýyor.;Yavaþ
Heryerde atm olmamasý;ATM Sayýsý Yetersiz
Yardýmcý olmayan gereksiz bir banka;Genel Memnuniyetsizlik
Yeterli sayýda ATM niz yok;ATM Sayýsý Yetersiz
Bunu uygun gördüm;Genel Memnuniyetsizlik
Para çekerken SMS kodu istiyor ve her yerde ATM yok;Aþýrý Güvenlik
Barkod okuma çalýlmýyor;Çalýþmýyor - Hata Veriyor
ATM lerin az olmasý;ATM Sayýsý Yetersiz
Çok kirli ler;Genel Memnuniyetsizlik
Kare kod problemleri . . .;QR
ATM yetersiz daha fazla olmalý çok sorun yaþýyoruz ptt atmleride para kesiyor;ATM Sayýsý Yetersiz
Para yatýrma yeri pek alýþamadým;Para Yatýrma Problemi
Atemelerden nakit para çekme limiti çok sýnýrlý;Para Çekme Limiti Yetersiz
Her para cekme talebinde sms ile onay istiyor buda zaman kaybina yol acýyor;Aþýrý Güvenlik
Bulunduðum ilde Albaraka atm'si yok;ATM Sayýsý Yetersiz
YapýKredi atm anlaþmasý güzel fakat neden ayda 3 kere ile sýnýrlý? Kuveyttürk ve Türkiye Finans müþterileri sýnýrsýz kullanabiliyor..;Para Çekme Limiti Yetersiz
atm  bazen  bozuk   cok prosedur   istiyorsunuz   görüsler  dikkate  alinmiyor  makas  aralarini  actiniz  islem  yapamiyoruz 0;Çalýþmýyor - Hata Veriyor
Sýk sýk bozuluyor uzak olan þubeye gidiyorum þifremi giriyorum yanlýþ diyor yapamýyorum;Çalýþmýyor - Hata Veriyor
1 adet atm olduðu için;ATM Sayýsý Yetersiz
5000 tl den fazla günlük para cekemiyorsun bu devirde;Para Çekme Limiti Yetersiz
Ne zaman aciliyet kesbederse ATM ya hizmet vermiyor yada geçici devre dýþý bu yüzden 10 teþebbüs ümde yaklaþýk iki hizmet aldým puaný verdim;Çalýþmýyor - Hata Veriyor
Atm göremiyorum ben. Ptt den yapýyorum islemleri.;ATM Sayýsý Yetersiz
Sayi az;ATM Sayýsý Yetersiz
Çok uðraþtýrýyor ve mobil bankdada çok uðraþtýrýr  ve çok para kesiliyor diðer bankalarla iþlem yaptýðýmýzda;Yavaþ
ATM yaygýn deðil bankamatik ten baðýþ bile yapamýyorum;ATM Sayýsý Yetersiz
Bazen tam baðlanma olamayabiliyor.;Çalýþmýyor - Hata Veriyor
Bulunduðum bölgede sadece 1 tane ATM var ve bize ayda sadece diðer ATM lerden 3 kere iþlem hakký veriyor buda çok az. aylýk 3 islemden sonra ATM iþlem ücreti aþýrý aþýrý aþýrý çok çok fazla iþlem ücreti isteniyor;ATM Sayýsý Yetersiz
Diðer atm lerden para çok kesiliyor.;Ücret Alýnmasý
"ATM Aðýnýz Çok Zayýf.
Çoðunlukla PTT ATM lerini kullanýyorum.
Onlar da çoðunlukla bozuk oluyor.";ATM Sayýsý Yetersiz
Çünkü her yerde yok. PTT den ise çekilmek istediðinde hep arýza halindedir uyarýsý alýyorum;ATM Sayýsý Yetersiz
Tam sayisi az oldugu icin;ATM Sayýsý Yetersiz
Yeterli miktarda atm mevcut deðil. Konya selçuklu Dumlupýnar mahallesine atm yapýlmasýný talep ediyorum. Ptt atm side bulunmuyor.;ATM Sayýsý Yetersiz
Baðlantý gücü zayýf;Çalýþmýyor - Hata Veriyor
Sýk bulunan bir ATM deðil;ATM Sayýsý Yetersiz
5 bin TL den fazla çekilmiyor;Para Çekme Limiti Yetersiz
Isceb bankaciliginiz cok yavaþ yeterli subeleriniz atm leriniz yok;ATM Sayýsý Yetersiz
ATM niz yok Albarakatürk e ait;ATM Sayýsý Yetersiz
Yeteri kadar ATM yok;ATM Sayýsý Yetersiz
Bulunduðum ilçede bankamatiðiniz yok. Erdemli/ mersin;ATM Sayýsý Yetersiz
Uzun zamandýr albaraka ile çalýþýyoruz maaþ larimiz albaraka ya yatýyor þimdiye kadar ATM den 200 TL banknot çekebilmiþ deðilim ve piyasadaki ne kadar eski tedavülden kalkmýþ banknot varsa hepsi albarakada bazen yýrtýk para bile veriyor ama yatýrmak istesem kesinlikle almýyor ve birçok iþlem hem ATM hem mobilden yapýlmýyor mesela vergi borçlarý gibi;Çalýþmýyor - Hata Veriyor
Yýllar önce kredi kartý çýkartacaktým. Müþteri hizmetleri ilgisiz iþ takibi YOK bir türlü kartý veremediler bana olmadý kart çýkmadý. Daha önce 3 tane kredi kartý kullanýyordum bankanýzýn. Konu çok uzunda kýsaca yazdým;Kart
Ne zaman para yatýrmaya gitsem atm çalýþmýyor;Çalýþmýyor - Hata Veriyor
Sehirimizde bankanýz eksik;ATM Sayýsý Yetersiz
Bizim mahalldeki atm surekli arýzalý;Çalýþmýyor - Hata Veriyor
Atm den günlük çekme limiti 5000 tl daha fazla olmalý.;Para Çekme Limiti Yetersiz
Atalarýmýzýn çok az olmasi;ATM Sayýsý Yetersiz
Özelliksiz;Kullanýþsýz
ATM  PTT kullanýyorum yakýnda ATM NIZ YOK;ATM Sayýsý Yetersiz
atm sayýsý az ve olanlar da yavaþ;ATM Sayýsý Yetersiz
Sizi kimseye tavsiye etmem;Genel Memnuniyetsizlik
Atm kullanmadýðýmdan;ATM Sayýsý Yetersiz
Atemeniz her yerde olmadýgý için;ATM Sayýsý Yetersiz
Menüler arasý geçiþ hýzý çok yavaþ.;Yavaþ
iþlem çok uzun sürüyor teyit istiyor müþterinizin olduðum ben þahsen bankacýlýk iþlemlerinizi memnun deðilim inanýn ve sivas þubesinden hiç memnun degilim;Yavaþ
Her yerde ATM çeþitliliði mevcut deðil;ATM Sayýsý Yetersiz
Þube bankamatikleriniz sayýsý yetersiz  ortak çalýþtýðýnýz bankalarýn bankamatikleri de çoðu zaman arýzalý iþlem uzun sürüyor;ATM Sayýsý Yetersiz
Ýþlemler biraz agýr oluyor bürokrasi kaldýrýlmalý;Yavaþ
size ait ATM. niz yokki.;ATM Sayýsý Yetersiz
Çok az atm si var daha cok olmali etrafimdaki her insanda albaraka karti var ama atmler cok sayida az;ATM Sayýsý Yetersiz
Baþka bankadan çektim parayý yatýrmak ta zorlaniyorum Para yatýrma sýkýntýsý cekiyorum;Para Yatýrma Problemi
ATM nizi bulamýyorum ki puan vereyim;ATM Sayýsý Yetersiz
Cihazlar çok aðýr çalýþýyor.;Yavaþ
Tuþ takýmýnýn üzerinde bulunan kafes çok kötü, tuþlarýn rahat basýlmasýný engelliyor;Tuþ Takýmý
"Atm sayýsý eksik.  
Atm ye kartýmý taktýðýmda okumuyor";ATM Sayýsý Yetersiz
Memur çalýþanlarýnýn bazýlarýnda müþteri ye karþý gönül kýrýcý hareketler var.saygilarimla.;Ýlgisizlik
Zaten az olan ATM lerden biri arýzalanýnca diðeri için semt deðiþtirmek gerekiyor. Ve bazen o da arýzalý çýkýyor;ATM Sayýsý Yetersiz
Ayvalýkta bankamatik yok.;ATM Sayýsý Yetersiz
Baklarda çaliþan Personleriniz   Dalga geçer gibi cümler kulanýyor  ilgilenme sýfýr müþteriyle;Yavaþ
Hatay antakyadayým depremzedeyim para çekebileceðim atm sadece 1 adet mevcut;ATM Sayýsý Yetersiz
ATM aðýnýz çok az;ATM Sayýsý Yetersiz
Mardin ili Kýzýltepe ilçesi Diyanet personeli Albaraka ile maaþ alýrken Kýzýltepe'de Albarakanýn ne atm si ne de þubesi var.;Çalýþmýyor - Hata Veriyor
Nekit para 15bin olmasý istiyorum;Para Çekme Limiti Yetersiz
Daha çok atm olsa güzel olacak;ATM Sayýsý Yetersiz
sýkýntýlý bazen daha iyi hizmet verebilirsiniz teþekkür ederim;Çalýþmýyor - Hata Veriyor
Yazilim bes para etmez;Genel Memnuniyetsizlik
Ýþler hýzlýbirþekilde yürümüyor;Genel Memnuniyetsizlik
Malatyadayýz atm yokki 1 taneydi hep baþka bankamatiklerden çekmek zorunda kalýyoruz neden daha çok atm yapýlmýyor daha çok der 2 tane bile yeterli;ATM Sayýsý Yetersiz
atm niz yavaþ çalýþýyor;Yavaþ
Sistem çok yavaþ;Yavaþ
Çok yavaþ ve iþlem sonucu hesab verilerini son adýmda göremiyoruz;Yavaþ
Limit az;Para Çekme Limiti Yetersiz
kolay eriþilemiyor;Genel Memnuniyetsizlik
Çünkü anlaþmali ptt atm leri iþlem ücreti alýyor normalde almamasý lazým;ATM Sayýsý Yetersiz
Gerek mobil kullanýmda Quar kod okutmada  gerekse kartlý kullanýmda çok yavaþ olduðunu düþünüyorum;Aþýrý Güvenlik
ATM meniz çok az sayýda Albaraka kartýmla baþka atmlerden para çekiyorum vede param kesiliyor;ATM Sayýsý Yetersiz
Nedeni yok;Genel Memnuniyetsizlik
ATM az olduðu halde  heryerden para çekemiyorsun;ATM Sayýsý Yetersiz
Atm den iþlem yapýtým  Qkod la 5 dakika bekledim para vermedi ben atm nin baþýndan ayrildým 5 dakika sonra bana mesaj geldi Qkodla para cektiniz diye ben koþa koþa atm nin baþýna geçtim allahtan kimse gelip parayý almamýþ paramý çektim atm sisteminiz hiç begenmedim.;QR
Sadece atm den para çekmek için uygulanan iþlem bir iþkence oldugunu yazabilirim;Çalýþmýyor - Hata Veriyor
Çok az atm var;ATM Sayýsý Yetersiz
Baþka hesaba para transferini nakit atm den çekilen gibi gösterip nakit çekim yapamýyorum bu durumun düzeltilmesini istiyorum;Çalýþmýyor - Hata Veriyor
"Cam.çok.lekeli.ekrani.goremiyorum

Caným çok lekeli ekraný göremiyorum";Genel Memnuniyetsizlik
Geçenlerde yaklaþýk iki ay önce 14850 tl dolandýrýldým anýnda müþteri hizmetlerini aradým ve savcýlýða da baþvurdum ama bana dönmediniz ve koskoca banka maðduriyetimide gidermedi bankayý mahkemeye verecem;Para Çekme Limiti Yetersiz
"10 sefer kredi kartý istedim vermediniz onaylamadýnýz þuan baþka bankalardan kredi kartý istedim verdiler siz kredi kartý vermiyorsunuz þuan vakýfbanktan kredi kartý çýkardým daha siz kredi kartý vermediniz akbanktan kredi kartý istedim onaylandý verdi hatta akbanktan 40 binlira kredi istedim verdiler siz diyorsunuz kredi puanýn düþüktür onun için vermiyoruz sana siz diyorsunuz hangi yüzle size puan vereyim sizi deðerlendireyim söyleyin bana bakayým politikalar ðereði uygun bulmuyorum diyorsunuz ya benimd
e politikalar ðereði uygun bulmuyorum size puan verip deðerlendireyim sizi hepsi bu kapdar";ATM Sayýsý Yetersiz
Her yerde atm niz bulunmuyor;ATM Sayýsý Yetersiz
Yeterli sayýda bankamatik yok.;ATM Sayýsý Yetersiz
Önce milletin hakký olaný verin ondan sonra ben insan Lara tavsiye ederim;ATM Sayýsý Yetersiz
Tek bir tane ATM yok Kýzýltepe de;ATM Sayýsý Yetersiz
160 bin nüfuslu Konya Ereðli þubesinde sadece bir ATM bin olmasý.;ATM Sayýsý Yetersiz
Çok aðýr iþlem yapýyor;Yavaþ
Ptt atm.den para çekmek zorunda kalýyorum.of ilçemizde Albaraka yok. PARA ÇEKME LÝMÝTÝNI ARTIRMALISINIZ;Para Çekme Limiti Yetersiz
Atmleriniz az olmasý nedeni ile;ATM Sayýsý Yetersiz
Bankamatik kartýný kabul ettiremedim cep telefonunla çekmek zorunda kaldým;Çalýþmýyor - Hata Veriyor
Albaraka ATM leri banka haricinde yok, PTT ATM leride az.;ATM Sayýsý Yetersiz
Sultan selim mahallesindeki atm bazen bozuluyo;Çalýþmýyor - Hata Veriyor
ATM az;ATM Sayýsý Yetersiz
Marþýmýn hepsini buseferde alamýyorum;Para Çekme Limiti Yetersiz
Pazar günleri ATM de hiç bir zaman para olmuyor;Nakit Bulunmuyor
Teferuat fazla yani iki de bir þifre ile uðraþýyorum günlük çekim limiti düþük barkot okuma sorluk çýkarýyor;Aþýrý Güvenlik
Hiç bir yerde bulamýyoruz daha fazla banka ile anlaþmanýz lazým;ATM Sayýsý Yetersiz
Bunu uygun gördüm;Genel Memnuniyetsizlik
Ýlgi yok. Sorun çözme yok. Baþtan savma var.;Ýlgisizlik
Çok yavaþ;Yavaþ
Para çekecem yok sms yok telefon numarasý nedir bu altý üstü para çekeceðim bu kadar uðraþtýrmayýn lütfen;Aþýrý Güvenlik
Para giriþ yerleri kapaklarý takiliyor;Para Yatýrma Problemi
"Güvenlik Mevzuat çok fazla abartýlý
Para yaptýrýrken bile teyit gerekiyor";Aþýrý Güvenlik
Berbat bi banka;Genel Memnuniyetsizlik
Para çekme miktarý , Mardin ili için ATM sayýsý ve online iþlemlerde diðer banka þirketleri ile olan kolaylýklarýn az olmasý;Para Çekme Limiti Yetersiz
Limit  düþük;Para Çekme Limiti Yetersiz
Her seferinden bozuk;Çalýþmýyor - Hata Veriyor
Bayramda Sakarya da ptt ve yapýkredi ATM lerinden para çekmeye çalýþtým komisyon almak istedi iþlemi iptal ettim, sonrasýnda Ýstanbul’da ptt ATM sinden para çektim ücret almadý bilgilerinize.;PTT ATM
ATM niz hiç yok bir yerde mevcut;ATM Sayýsý Yetersiz
"Ben her ATM ye gittiðim de korkarak gidiyorum 
Acaba para yý çekebilecekmiyim diye çünkü çoðu zaman çekemiyorum";Çalýþmýyor - Hata Veriyor
Ýyi hizmet verilmemektedir;Genel Memnuniyetsizlik
"PTT'den para çekerken ücret kesiliyor.
Para olmadýðý zamanlar oluyor.";PTT ATM
Çünkü kaynarca þubeniz hiç çalýþmýyor  ve müþterilere karþý tamamen ilginizler böyle devam ederse bankamý deyiþtirecem;Çalýþmýyor - Hata Veriyor
Çok az sayýda ATM var.;ATM Sayýsý Yetersiz
Hiç memnun deðilim;Genel Memnuniyetsizlik
Atm yok;ATM Sayýsý Yetersiz
Hizmet kanallarýnýz pasif..;Genel Memnuniyetsizlik
Ne zaman gelsem çoðunlukla arýzalý baþka banka lardan ayda 3kez kullaným hakký vermiþsiniz oda yetersiz kalýyor;Çalýþmýyor - Hata Veriyor
Ya para yok yada ATM bozuk hiç memnun degiliz;Çalýþmýyor - Hata Veriyor
Albaraka atm aramakla geciyor gunumuz..asla yakinlarda bulsmamak gibi bir kabus..ve buldugunuz da ya bozuk.ya para yoktur;ATM Sayýsý Yetersiz
Sürekli arýza veriyor. Farklý ATM ye yönlendiriyor.;Çalýþmýyor - Hata Veriyor
Adana'da çarþýda sadece iki tane var ve ben giderken birinde arýza oldu ben de ikinciye gittim ve çok bekledim.;ATM Sayýsý Yetersiz
Çünkü günlük çekme limiti az;Para Çekme Limiti Yetersiz
"Atm niz az hatta hiç yok gibi
PTT atm sini kullanmak istediðimde limit uygulayýp para çekme ücreti istiyor 
3 -5 bin lira bile çekemiyoruz
Hiç hoþ bir durum deðil
Ayrýca atm de bir sorun yaþadýðýmýzda ptt görevlisi ilgilenmiyor umursamýyor bankanýz ile halledin diyor";ATM Sayýsý Yetersiz
ATM yok Safranbolu da yok mesela;ATM Sayýsý Yetersiz
ATM çok ilkel ve yavaþ birde þubede iki banko var genelde teki çalýþýyor iþlemler çok yavaþ ilerliyor þarteller atmak üzere;Yavaþ
Her zaman bozuk yada para yok;Çalýþmýyor - Hata Veriyor
"Qr kod ile diðer bankalardan para çekemiyoruz.
Atm sayýsý olarak da Ýstanbul geneli avrupa yakasý eksik durumda";QR
ATM çok yavaþ. Þifre giriþ yapýyorsunuz daha sonra SMS. Yok baþka çok fazla zaman alýyor;Yavaþ
"Bu eleþtiriyi sonuna kadar okuyup deðerlendireceðinizi sanmýyorum ama yinede belki aklý selim birine denk gelir umuduyla yazýya dökelim

Son kullaným tarihi geçmiþ ve yenilemek için þube dahil tüm iletiþim kanallarýný kullanýp talep etmiþ olduðum ATM kartýný aylardýr (hatta bir yýl olmak üzere) göndermeyen, müþterisini kâle almayan bankaya 5 bile fazla! 

Aslýnda 1 puan hakkediyorsunuz ama yýllardýr çalýþtýðým banka olmasýnýn hatýrý hasebiyle 5 puan verdim.

Artýk vazgeçtim kart talebinde de bulunmuyorum.

Bu kafayla daha fazla müþteri ZATEN kaybedeceksiniz.

Ha bu arada insanlar doðayý taklit eder ve ilham alýr . Diðer bankalarýn ATM'lerine arada bir bakýn , bakýn da teknik anlamda ne kadar çaðýn gerekliliðine uygun olmayan ATM'lerle ne kadar gidebileceðinizi muhakeme edin";Vadesi Geçen Kartýn Yenisi Gelmedi
ATM de kartý  takýyorum sife giriyorum açýlýyor   para çekeceðim veya yatýracaðým     tel numarasý girmemi istiyor   belki güvenlik amaçlý abiler     zaman kaybý oluyor  internet bankacýlýk  sistemide problemli sistem kendini kolay açmýyor bir süre beklemek zorunda kalýyorsun diðer banka hizmetleri gibi hýzlý olmasýný istiyorum;Aþýrý Güvenlik
ATM para kabul etmiyor genellikle;Para Yatýrma Problemi
Her yerde ATM bulunmadýðýndan;ATM Sayýsý Yetersiz
ATM sayýsý azlýðý;ATM Sayýsý Yetersiz
Yeterli atm hizmeti bulunmamaktadir;ATM Sayýsý Yetersiz
Genelde arýzalý bazý illerde de bulunmuyor ATM;Çalýþmýyor - Hata Veriyor
ATM azlýðý ve gittiðimizde ATM hþzmet vermiyor gibi;ATM Sayýsý Yetersiz
Önceki yýllarda gelen bilgiler daha gelmiyor. Fatura ödendiði, maaþýn yattýðý ve son aya ait kredi borç miktarý bildirilmedi.;Bilgilendirme Eksikliði
Ptt atmsi bizden para kesiyo;Ücret Alýnmasý
Para çekiminde SMS atmasý ya telefon yanýmýzda yoksa maðdur olacaðýz;Aþýrý Güvenlik
Bankamatikten günlük çekilen meblað az.kar payý diðer bankalardan az ammaaa taksitle ev araba alsak diðer bankalardan fazla aylýk ödemesi var el insaf;Para Çekme Limiti Yetersiz
ATN leriniz çok az yerde bulunmakta. Koca Antalya da sadece 3 þubenizin önündekilerden baþka yok.;ATM Sayýsý Yetersiz
Ýstanbul Ataþehir Örnek Mahallesi þubenizdeki Atm banka güvenlik görevlisinden müdürüne kadar bildirmemize hatta telefonla merkeze þikayet etmeme raðmen sürekli 'Para Yatýrma Ünitesi Arýzalý' diyor. Banka personeli merkeze bildirdik umurlarýnda deðil diyor. Böyle lakayýklýk olabilir mi.Zaten çok yerde atm niz yok. En kýsa sürede sýrf bu yüzden baþka katýlým bankasýný tercih edeceðim;Çalýþmýyor - Hata Veriyor
Atm yok;ATM Sayýsý Yetersiz
Yaygýn ATM yok;ATM Sayýsý Yetersiz
Daha geliþtirilebilir;Yetersiz
Koca ilde 1 adet ATM var. 5000 tl limit günümüzde maaþ almak için 3 gün þehir merkezine gitmen gerek. Yapý Kredi Bankasýninda ATM Þi çok az devlet bankalarýnýn ATM lerini kullanmak gerek;ATM Sayýsý Yetersiz
Fazla ATM yok kýsýtlý ve arýzalý olduðu için;ATM Sayýsý Yetersiz
Atm bulmak zor oluyor PTT atm leride bozuk oluyor genelde;ATM Sayýsý Yetersiz
ATM niz yok hangi ATM den bahsediyorsunuz;ATM Sayýsý Yetersiz
Bankamatikleriniz yeterli deðil ve istediðim miktarý çekebilmem için extra ücret kesilmesi can sýkýcý;ATM Sayýsý Yetersiz
Atm ler çoðu zaman ücret alýyor.;Ücret Alýnmasý
Banka þubelerinizden baþka yerde ATM ‘leriniz yok þubedeki ATM ‘lerinizde hiç doðru dürüst calýþmýyor;ATM Sayýsý Yetersiz
